Study,Cue,Target,COS,LSA,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2,FSS.1,FSS.2,COSC.1,COSC.2
pilot,dust,clean,0.671312356,0.3155,0.122,16,6.67,18645,9.83,23.84,3.09,4,NN,12,17,4,1,1,5.06,3.72,5.14,6.25,3.82,36257,10.5,121.24,3.79,5,ADJ,3,15,4,1,1,3.89,7.09,4.34,6.48,13,5,5,17,44
pilot,blonde,brown,0.74057367,0.297521,0.02,15,5.02,6624,8.8,13.92,2.85,6,ADJ,1,4,5,1,1,6.06,6,6.02,6.37,4.63,42129,10.65,60.12,3.49,5,ADJ,8,14,4,1,1,4.2,5.52,NA,NA,20,7,5,78,36
pilot,bottle,jar,0.812441925,0.477714,0.033,20,6.94,18633,9.83,50.75,3.41,6,NN,4,16,4,2,1,3.56,5.47,NA,NA,5.77,2937,7.99,8.31,2.63,3,NN,18,27,3,1,1,5.44,5.71,5.53,6.25,13,16,13,64,46
pilot,green,yellow,0.718113932,0.599913,0.125,17,5.46,90773,11.42,72.47,3.57,5,ADJ,5,19,4,1,1,3.79,6.29,5.81,6.19,5.18,19319,9.87,33.8,3.24,6,ADJ,3,9,4,2,1,3.2,6.09,6.18,6.3,20,12,11,80,54
pilot,idea,mind,0.726291036,0.313551,0.01,17,2.87,133710,11.8,359.04,4.26,4,NN,2,0,4,2,1,5.95,7.05,3.53,6.33,2.6,131156,11.78,484.61,4.39,4,NN,16,22,4,1,1,5.37,6.7,3.96,6.45,10,5,5,17,20
thesis,find,keep,0,0.279109,0.117,11,5.86,378725,12.84,830.96,4.63,4,VB,15,26,4,1,1,5.78,6.45,4.21,6.17,3.3,183906,12.12,702.86,4.55,4,VB,9,33,3,1,1,4.42,6.32,2.95,6.3,17,26,5,151,14
thesis,jail,crime,0.08483377,0.625867,0.019,15,5.84,9659,9.18,70.63,3.56,4,NN,12,36,3,1,1,5.74,1.91,6.02,6.4,3.81,33496,10.42,71.24,3.56,5,NN,5,12,4,1,1,7.67,1.95,4.93,6.05,24,8,5,60,44
thesis,think,thought,0.148521178,0.405833,0.089,22,3.38,652944,13.39,2691.39,5.14,5,VB,7,14,4,1,1,5.89,6.68,4.52,6.68,1.28,174954,12.07,808.47,4.62,7,NN,0,14,3,1,1,5.89,6.76,3.42,6.53,9,5,5,13,21
thesis,high,school,0,0.365248,0.014,11,3.62,185510,12.13,195,4,4,ADJ,3,45,2,1,1,4.58,5.77,4.88,6.64,5.25,119951,11.69,333.12,4.23,6,NN,0,10,4,1,1,3.89,5.41,5.72,6.47,22,5,11,3,36
thesis,food,drink,0.051820331,0.170368,0.05,18,5.84,59724,11,154.43,3.9,4,NN,10,24,3,1,1,3.25,7.52,5.33,6.53,4.95,19872,9.9,247.39,4.1,5,VB,5,4,5,1,1,3.47,5.47,5.49,6.4,20,5,23,96,204
thesis,shovel,fork,0.091837261,0.126887,0.014,13,5.68,1017,6.92,6.84,2.54,6,NN,2,5,4,2,1,6.28,4.8,5.32,6.02,5.25,11253,9.33,8.82,2.65,4,NN,9,13,4,1,1,3.63,5.47,5.71,6.24,8,48,39,118,322
thesis,fish,bowl,0.033286338,0.112432,0.018,24,5.84,30614,10.33,83.49,3.63,4,NN,5,17,3,1,1,4.05,6.42,6.09,6.16,5.26,10720,9.28,21.45,3.04,4,NN,10,49,3,1,1,4.26,5.67,5.66,6.2,22,31,15,116,161
thesis,pigeon,bird,0.390263247,0.475698,0.646,7,5.77,900,6.8,5.9,2.48,6,NN,0,2,5,2,1,6.21,5.58,6.05,5.92,5.77,19070,9.86,45.45,3.37,4,NN,5,48,3,1,1,3.52,6.75,6.14,6.33,23,14,23,83,107
thesis,trumpet,instrument,0.561076309,0.416442,0.177,16,7,7157,8.88,4.12,2.32,7,NN,2,1,7,2,1,6.28,6.03,6.28,5.83,6.25,10141,9.22,8.1,2.62,10,NN,0,0,10,3,1,6.94,6.68,4.87,6.25,14,16,10,59,41
thesis,walrus,sea,0.341622972,0.318781,0.02,16,6.16,530,6.27,1.12,1.76,6,NN,0,0,6,2,1,5.06,5.79,5.84,5.8,5.82,36736,10.51,59.84,3.48,3,NN,17,51,2,1,1,4.74,6.56,5.73,6.24,15,13,11,44,171
thesis,horse,pony,0.489282997,0.702421,0.109,16,6.03,23855,10.08,92.88,3.68,5,NN,10,16,4,1,1,4.15,6.05,6.05,6.17,6.51,2249,7.72,8.1,2.62,4,NN,13,14,4,2,1,5.39,6.71,6.36,5.98,5,43,15,239,152
thesis,brick,wood,0.51298485,0.222086,0.013,14,5.97,3969,8.29,10.18,2.72,5,NN,8,23,4,1,1,6.43,4.65,5.69,6.13,5.81,24035,10.09,27,3.14,4,NN,12,18,3,1,1,4.58,5.82,5.42,6.46,26,9,7,66,51
thesis,fence,gate,0.540940557,0.590565,0.094,20,5.85,5277,8.57,16.06,2.91,5,NN,2,10,4,1,1,6.28,5.05,6.05,6.03,5.69,16638,9.72,32.04,3.21,4,NN,20,39,3,1,1,5.32,5.32,5.39,6.18,12,36,40,137,153
thesis,safe,vault,0.433552675,0.113921,0.021,21,3.72,33169,10.41,143.2,3.86,4,ADJ,10,15,3,1,1,5.11,7.7,4.68,6.05,5.39,9408,9.15,12.04,2.79,5,NN,2,10,4,1,1,9.16,5.84,5.44,5.19,13,7,13,17,78
thesis,green,red,0.783839908,0.343404,0.035,17,5.46,90773,11.42,72.47,3.57,5,ADJ,5,19,4,1,1,3.79,6.29,5.81,6.19,4.97,103819,11.55,148.06,3.88,3,ADJ,18,35,3,1,1,3.68,5.67,5.88,6.55,14,12,5,80,8
thesis,skillet,pan,0.837274111,0.497685,0.48,7,5.72,654,6.48,1.22,1.8,7,NN,1,0,6,2,1,8.2,5.85,5.83,5.71,5.74,10047,9.22,12.29,2.8,3,NN,29,41,3,1,1,4.72,5.15,5.26,6.4,13,12,16,84,86
thesis,soap,shower,0.760009493,0.258413,0.022,22,5.77,8037,8.99,15.2,2.89,4,NN,6,28,3,1,1,3.17,7.1,5.89,6.31,5.88,6874,8.84,41.12,3.32,6,NN,2,17,3,1,1,4.72,7.19,6.43,6.56,17,10,10,87,73
thesis,wash,bath,0.763006231,0.447364,0.02,14,4.2,8590,9.06,40.73,3.32,4,VB,12,15,3,1,1,4,6,4.98,6.59,5.9,5621,8.63,31.12,3.2,4,NN,13,23,3,1,1,3.23,7,6.18,6.39,10,27,10,15,45
thesis,orange,tangerine,0.801641914,0.566693,0.632,14,5.74,13483,9.51,22.31,3.06,6,ADJ,1,2,5,2,1,3.26,6.81,5.87,6.25,6.41,426,6.05,0.75,1.59,9,NN,0,0,8,3,1,8.15,6.81,6.19,5.69,7,27,19,57,47
thesis,basketball,baseball,0.683483293,0.770274,0.107,13,5.88,9831,9.19,21.39,3.04,10,NN,0,0,9,3,2,5.3,5.67,6.17,6.19,5.75,18372,9.82,25.25,3.11,8,NN,0,0,6,2,2,4.83,5.79,5.98,6.26,18,7,30,40,283
thesis,inhale,air,0.699063094,0.408891,0.05,8,3.53,857,6.75,2.35,2.08,6,VB,0,1,5,2,2,7.26,5.36,4.55,5.9,5.67,81115,11.3,139.02,3.85,3,NN,7,20,2,1,1,3.94,6.71,4.62,6.53,17,26,5,150,34
thesis,doll,play,0.144132044,0.254607,0.058,13,5.36,5685,8.65,24.76,3.1,4,NN,12,26,3,1,1,3.68,5.58,5.27,6,4.22,149546,11.92,354.53,4.26,4,VB,6,15,3,1,1,4.1,7.55,4.49,6.53,21,17,5,120,65
thesis,glove,ball,0.011706192,0.716996,0.012,9,6.14,2355,7.76,10.1,2.71,5,NN,3,2,4,1,1,2.9,6.11,5.89,6.46,6.08,38502,10.56,104.96,3.73,4,NN,20,47,3,1,1,2.9,6.14,6.25,6.42,17,24,9,77,80
thesis,cake,walk,0,0.190194,0.033,19,6.11,6250,8.74,45.06,3.36,4,NN,19,30,3,1,1,3.26,7.58,6.23,6.6,4.28,33093,10.41,215.86,4.04,4,VB,9,17,3,1,1,3.45,6.77,5.05,6.57,12,20,27,76,17
thesis,liar,thief,0,0.262936,0.027,18,3.79,6138,8.72,35.14,3.25,4,NN,1,21,3,1,2,4.89,2.41,4.15,6.19,4.83,4276,8.36,24.27,3.09,5,NN,1,10,3,1,1,7.22,2.32,5.22,6.05,11,5,5,8,9
thesis,limousine,white,0.017999819,0.09285,0.013,16,6.2,525,6.26,2.82,2.16,9,NN,0,0,7,3,1,8.17,6.14,5.89,5.79,4.68,149742,11.92,171.45,3.94,5,ADJ,4,11,4,1,1,4.06,6.18,5.64,6.37,8,27,5,118,14
thesis,oil,car,0.062886453,0.051331,0.176,17,5.6,34785,10.46,41.08,3.32,3,NN,8,17,2,1,1,7.33,3.91,5.21,6.23,6.35,86253,11.37,483.06,4.39,3,NN,23,43,3,1,1,3.37,6.63,6.22,6.8,25,5,36,15,267
thesis,camp,lake,0.010099081,0.245806,0.02,19,5.69,15938,9.68,51.22,3.42,4,NN,10,10,4,1,1,5.78,7,5.51,6.26,5.7,21614,9.98,36,3.26,4,NN,22,40,3,1,1,4.61,7.13,5.98,6.43,15,23,8,207,95
thesis,tear,cry,0.368051649,0.295845,0.303,9,4.69,6617,8.8,27,3.14,4,NN,19,48,3,1,1,4.89,3.14,5.02,6.18,4.32,13252,9.49,65.65,3.52,3,VB,7,8,3,1,1,2.78,3.22,4.53,6.25,14,5,54,12,266
thesis,deer,forest,0.367300433,0.540496,0.056,18,3.96,4911,8.5,8.71,2.65,4,NN,14,48,3,1,1,5.17,6.89,6.4,6.13,6.37,17098,9.75,18.88,2.98,6,NN,1,1,6,2,1,6.28,6.68,6.3,6.03,9,21,10,223,209
thesis,cup,mug,0.580503524,0.398781,0.025,10,5.35,27792,10.23,51.65,3.42,3,NN,10,19,3,1,1,3.57,5.94,5.52,6.33,5.72,1642,7.4,6.84,2.54,3,NN,16,24,3,1,1,5.15,4.16,5.68,6.22,9,23,16,132,105
thesis,gold,jewel,0.380385359,0.148655,0.096,16,5.68,53067,10.88,78.94,3.61,4,NN,14,29,4,1,1,7.1,7.28,5.7,6.03,5.73,1980,7.59,7.24,2.57,5,NN,1,5,4,1,1,6.22,6.68,6.05,6.23,20,8,11,78,11
thesis,cage,zoo,0.355932263,0.404271,0.014,18,5.88,8498,9.05,20.27,3.01,4,NN,13,17,3,1,1,5.06,3.11,6.07,5.77,5.79,4317,8.37,13.65,2.84,3,NN,9,44,2,1,1,3.75,7,6.07,6.39,8,14,6,181,44
thesis,mud,dirt,0.442539015,0.422408,0.599,10,6.02,11445,9.35,14.82,2.88,3,NN,12,27,3,1,1,4.05,5.06,5.79,6.05,5.51,7642,8.94,25.69,3.12,4,NN,7,19,3,1,1,3.83,4.5,5.05,6.41,18,7,8,50,83
thesis,chair,stool,0.462130502,0.464467,0.032,14,6.12,18589,9.83,49.24,3.4,5,NN,3,36,3,1,1,3.43,5.89,5.89,6.65,5.66,1234,7.12,3.51,2.26,5,NN,4,17,4,1,1,6.21,4.47,5.75,5.66,16,47,24,347,26
thesis,four,two,0.701354636,0.579263,0.013,15,3.57,85200,11.35,255.78,4.12,4,Other,9,40,3,1,1,4.93,5.26,4.85,6.27,3.79,456473,13.03,1066.35,4.74,3,Other,3,53,2,1,1,4.24,6.3,4.39,6.7,14,5,8,21,6
