Partno,Rain - ______,Blue - ______,Steel - ______,Skin - ______,Rocket - ______,Shot - ______,Saucer - ______,Envelope - ______,Chapel - ______,Wear - ______,Wet - ______,Fire - _______,Bowl - ______,Freedom - ______,Red - ______,Toad - ______,Flame - ______,Carpet - ______,Cottage - ______,Talk - ______,Rifle - ______
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
181,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
182,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0
183,0,0,1,1,0,,,1,,,1,0,0,,1,1,1,1,1,1,1
184,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
185,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0
186,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
187,1,0,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1
188,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1
189,1,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
190,,0,1,1,1,,1,0,,1,0,,0,1,0,,1,,,0,
191,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1
192,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,1,1,0,1
193,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
194,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,1
195,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,0,1
196,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1,1,1,1,0,0
197,,,,,,,,,,,,,,,,,,,,,
198,0,0,1,1,1,0,0,1,1,0,1,0,1,1,0,1,1,1,0,1,1
199,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,1
200,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
201,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1,0,1
202,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1
203,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
204,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1
205,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0
206,,,,,,,,,,,,,,,,,,,,,
207,1,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1
208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
209,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1
210,1,0,1,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1
211,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
212,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1
213,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0
214,,1,1,1,,1,1,1,1,,,1,1,,1,1,1,1,1,,1
215,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1
216,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1
218,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1
219,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1
220,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
221,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1
