Cue,Target,COS,LSA,FSG,QSS.1,QCON.1,HAL.1,LogHAL.1,Subtlex.1,LogSub.1,Length.1,POS.1,Ortho.1,Phono.1,Phonemes.1,Syllables.1,Morphemes.1,AOA.1,Valence.1,Imageability.1,Familiarity.1,TSS.1,QSS.2,QCON.2,HAL.2,LogHAL.2,Subtlex.2,LogSub.2,Length.2,POS.2,Ortho.2,Phono.2,Phonemes.2,Syllables.2,Morphemes.2,AOA.2,Valence.2,Imageability.2,Familiarity.2,TSS.2
skillet,pan,0.837274111,0.497685,0.48,7,5.72,654,6.48,1.22,1.8,7,NN,1,0,6,2,1,8.2,5.85,5.83,5.71,7,13,5.74,10047,9.22,12.29,2.8,3,NN,29,41,3,1,1,4.72,5.15,5.26,6.4,13
soap,shower,0.760009493,0.258413,0.022,22,5.77,8037,8.99,15.2,2.89,4,NN,6,28,3,1,1,3.17,7.1,5.89,6.31,22,17,5.88,6874,8.84,41.12,3.32,6,NN,2,17,3,1,1,4.72,7.19,6.43,6.56,17
wash,bath,0.763006231,0.447364,0.02,14,4.2,8590,9.06,40.73,3.32,4,VB,12,15,3,1,1,4,6,4.98,6.59,14,10,5.9,5621,8.63,31.12,3.2,4,NN,13,23,3,1,1,3.23,7,6.18,6.39,10
orange,tangerine,0.801641914,0.566693,0.632,14,5.74,13483,9.51,22.31,3.06,6,ADJ,1,2,5,2,1,3.26,6.81,5.87,6.25,14,7,6.41,426,6.05,0.75,1.59,9,NN,0,0,8,3,1,8.15,6.81,6.19,5.69,7
basketball,baseball,0.683483293,0.770274,0.107,13,5.88,9831,9.19,21.39,3.04,10,NN,0,0,9,3,2,5.3,5.67,6.17,6.19,13,18,5.75,18372,9.82,25.25,3.11,8,NN,0,0,6,2,2,4.83,5.79,5.98,6.26,18
inhale,air,0.699063094,0.408891,0.05,8,3.53,857,6.75,2.35,2.08,6,VB,0,1,5,2,2,7.26,5.36,4.55,5.9,8,17,5.67,81115,11.3,139.02,3.85,3,NN,7,20,2,1,1,3.94,6.71,4.62,6.53,17
doll,play,0.144132044,0.254607,0.058,13,5.36,5685,8.65,24.76,3.1,4,NN,12,26,3,1,1,3.68,5.58,5.27,6,13,21,4.22,149546,11.92,354.53,4.26,4,VB,6,15,3,1,1,4.1,7.55,4.49,6.53,21
glove,ball,0.011706192,0.716996,0.012,9,6.14,2355,7.76,10.1,2.71,5,NN,3,2,4,1,1,2.9,6.11,5.89,6.46,9,17,6.08,38502,10.56,104.96,3.73,4,NN,20,47,3,1,1,2.9,6.14,6.25,6.42,17
cake,walk,0,0.190194,0.033,19,6.11,6250,8.74,45.06,3.36,4,NN,19,30,3,1,1,3.26,7.58,6.23,6.6,19,12,4.28,33093,10.41,215.86,4.04,4,VB,9,17,3,1,1,3.45,6.77,5.05,6.57,12
liar,thief,0,0.262936,0.027,18,3.79,6138,8.72,35.14,3.25,4,NN,1,21,3,1,2,4.89,2.41,4.15,6.19,18,11,4.83,4276,8.36,24.27,3.09,5,NN,1,10,3,1,1,7.22,2.32,5.22,6.05,11
